gene,TB,Sepsis,Dengue
DHRS7,TRUE,TRUE,TRUE
DPH3,TRUE,FALSE,FALSE
VMP1,TRUE,TRUE,FALSE
BEST1,TRUE,FALSE,TRUE
SAC3D1,TRUE,FALSE,FALSE
NPC2,TRUE,TRUE,FALSE
PIK3AP1,TRUE,FALSE,TRUE
BOLA3,TRUE,FALSE,FALSE
NHP2,TRUE,TRUE,FALSE
GNGT2,TRUE,FALSE,FALSE
CDC123,TRUE,FALSE,FALSE
CXCR4,TRUE,TRUE,TRUE
SH3GLB1,TRUE,FALSE,FALSE
ABHD14A,TRUE,FALSE,TRUE
COPB2,TRUE,FALSE,FALSE
CNPPD1,TRUE,FALSE,TRUE
TRAPPC2L,TRUE,TRUE,FALSE
SARAF,TRUE,TRUE,TRUE
RGS10,TRUE,FALSE,FALSE
JPT1,TRUE,FALSE,FALSE
ZDHHC12,TRUE,FALSE,FALSE
SMAD7,TRUE,FALSE,TRUE
FKBP3,TRUE,FALSE,FALSE
MED7,TRUE,FALSE,FALSE
STRAP,TRUE,FALSE,TRUE
ACTR6,TRUE,FALSE,FALSE
GLA,TRUE,FALSE,TRUE
EEF2,TRUE,TRUE,TRUE
EMC3,TRUE,TRUE,FALSE
BAG1,TRUE,TRUE,FALSE
ZBTB8OS,TRUE,TRUE,FALSE
COX8A,TRUE,TRUE,FALSE
MVP,TRUE,FALSE,TRUE
SPI1,TRUE,TRUE,FALSE
PLEK,TRUE,TRUE,TRUE
CAP1,TRUE,TRUE,FALSE
RHOG,TRUE,FALSE,TRUE
HEBP1,TRUE,TRUE,FALSE
TSPAN32,TRUE,FALSE,FALSE
PCBD1,TRUE,FALSE,FALSE
THBS1,TRUE,TRUE,FALSE
PEX16,TRUE,FALSE,FALSE
ACTR10,TRUE,TRUE,FALSE
POLR2F,TRUE,TRUE,FALSE
SF1,TRUE,FALSE,TRUE
SRSF9,TRUE,TRUE,TRUE
TMEM167A,TRUE,TRUE,FALSE
TP53RK,TRUE,FALSE,FALSE
TREM1,TRUE,TRUE,TRUE
DYNC1LI1,TRUE,TRUE,FALSE
RPL7,TRUE,TRUE,TRUE
PKN2,TRUE,FALSE,FALSE
KRR1,TRUE,FALSE,FALSE
DERA,TRUE,FALSE,FALSE
PHB,TRUE,FALSE,FALSE
SMIM4,TRUE,TRUE,FALSE
PSMB4,TRUE,FALSE,FALSE
NOP53,TRUE,FALSE,FALSE
DNTTIP1,TRUE,TRUE,FALSE
RPL9,TRUE,TRUE,TRUE
AAMDC,TRUE,FALSE,FALSE
ACBD3,TRUE,FALSE,FALSE
APRT,TRUE,TRUE,FALSE
HCST,TRUE,TRUE,TRUE
SURF2,TRUE,FALSE,FALSE
MYADM,TRUE,TRUE,TRUE
LRRC8D,TRUE,FALSE,FALSE
TMEM230,TRUE,TRUE,FALSE
POLR2G,TRUE,TRUE,FALSE
BCL2A1,TRUE,TRUE,TRUE
FN3KRP,TRUE,FALSE,FALSE
FIS1,TRUE,TRUE,FALSE
MARCH2,TRUE,FALSE,TRUE
PDCD5,TRUE,FALSE,FALSE
IFIT2,TRUE,FALSE,TRUE
CIAO2B,TRUE,FALSE,FALSE
ATP6V0B,TRUE,FALSE,FALSE
TMEM165,TRUE,FALSE,FALSE
RRAGA,TRUE,FALSE,FALSE
IMP3,TRUE,FALSE,FALSE
CACYBP,TRUE,FALSE,FALSE
MRPL32,TRUE,FALSE,FALSE
MIIP,TRUE,FALSE,TRUE
PRDX6,TRUE,TRUE,FALSE
MANF,TRUE,FALSE,FALSE
ACO1,TRUE,FALSE,FALSE
MRPL16,TRUE,FALSE,FALSE
CCDC69,TRUE,FALSE,TRUE
RPL8,TRUE,TRUE,TRUE
MEA1,TRUE,FALSE,FALSE
PSMC5,TRUE,TRUE,FALSE
NABP1,TRUE,FALSE,FALSE
YEATS4,TRUE,FALSE,FALSE
RNF213,TRUE,TRUE,TRUE
FUS,TRUE,TRUE,TRUE
TIMP2,TRUE,FALSE,FALSE
MRPS33,TRUE,FALSE,FALSE
RAB10,TRUE,TRUE,FALSE
SAR1A,TRUE,FALSE,TRUE
ADRM1,TRUE,TRUE,FALSE
CDK11A,TRUE,FALSE,FALSE
MSRB2,TRUE,FALSE,FALSE
ITGB8,TRUE,FALSE,FALSE
PTGR1,TRUE,FALSE,FALSE
COL8A2,TRUE,FALSE,TRUE
CSF2RB,TRUE,FALSE,FALSE
TTC38,TRUE,FALSE,TRUE
CFLAR,TRUE,TRUE,FALSE
PLAAT3,TRUE,FALSE,FALSE
SNAP29,TRUE,FALSE,FALSE
NIPSNAP2,TRUE,FALSE,FALSE
STX8,TRUE,TRUE,FALSE
PNPLA6,TRUE,TRUE,FALSE
ADPRH,TRUE,FALSE,FALSE
PRMT1,TRUE,FALSE,FALSE
ARPC5L,TRUE,TRUE,FALSE
TCF25,TRUE,TRUE,FALSE
EIF3D,TRUE,TRUE,FALSE
CAPZB,TRUE,TRUE,FALSE
FAM3C,TRUE,TRUE,FALSE
NT5C3B,TRUE,FALSE,FALSE
VPS35,TRUE,FALSE,TRUE
MYDGF,TRUE,TRUE,FALSE
DPP7,TRUE,TRUE,FALSE
TMEM179B,TRUE,TRUE,TRUE
STMN1,TRUE,FALSE,TRUE
CIR1,TRUE,TRUE,FALSE
HIGD1A,TRUE,FALSE,TRUE
SLC25A19,TRUE,FALSE,FALSE
FCGR1B,TRUE,FALSE,TRUE
CXXC5,TRUE,TRUE,FALSE
MRPL20,TRUE,FALSE,FALSE
H1FX,TRUE,TRUE,TRUE
DNAJC8,TRUE,TRUE,FALSE
MTX2,TRUE,FALSE,FALSE
MRPS35,TRUE,TRUE,FALSE
AP1S1,TRUE,FALSE,FALSE
CISD1,TRUE,FALSE,FALSE
GRPEL1,TRUE,TRUE,FALSE
IFI27L1,TRUE,FALSE,FALSE
DYNLT1,TRUE,FALSE,FALSE
RAB9A,TRUE,TRUE,FALSE
ESYT1,TRUE,FALSE,FALSE
SQSTM1,TRUE,FALSE,TRUE
ACYP1,TRUE,FALSE,FALSE
PCNA,TRUE,FALSE,TRUE
COLEC12,TRUE,FALSE,FALSE
DUSP23,TRUE,FALSE,FALSE
BRK1,TRUE,TRUE,FALSE
TTC39C,TRUE,FALSE,FALSE
ZNRD2,TRUE,FALSE,FALSE
IDNK,TRUE,FALSE,FALSE
RPLP2,TRUE,TRUE,TRUE
TOR2A,TRUE,FALSE,FALSE
PIN1,TRUE,TRUE,FALSE
CUEDC2,TRUE,TRUE,FALSE
EXOSC3,TRUE,FALSE,FALSE
UQCRH,TRUE,FALSE,FALSE
TAX1BP1,TRUE,TRUE,FALSE
TOMM5,TRUE,TRUE,FALSE
ENY2,TRUE,FALSE,FALSE
ARRB2,TRUE,TRUE,FALSE
MDH1,TRUE,TRUE,FALSE
MTMR6,TRUE,FALSE,TRUE
NDFIP1,TRUE,FALSE,TRUE
RPL12,TRUE,FALSE,TRUE
DDOST,TRUE,TRUE,FALSE
TAF1D,TRUE,TRUE,TRUE
REST,TRUE,FALSE,FALSE
TMEM126B,TRUE,FALSE,FALSE
NUDT5,TRUE,FALSE,FALSE
HADHB,TRUE,FALSE,FALSE
ENPP4,TRUE,FALSE,FALSE
RPA2,TRUE,FALSE,FALSE
ZNF675,TRUE,FALSE,FALSE
PMVK,TRUE,FALSE,FALSE
MSN,TRUE,FALSE,FALSE
EEF1E1,TRUE,FALSE,TRUE
COA4,TRUE,FALSE,FALSE
EML4,TRUE,FALSE,FALSE
ISCA1,TRUE,FALSE,TRUE
RPL27A,TRUE,TRUE,TRUE
TBC1D12,TRUE,FALSE,FALSE
BCAP29,TRUE,FALSE,FALSE
MS4A6A,TRUE,FALSE,FALSE
CLEC4A,TRUE,FALSE,FALSE
IFT20,TRUE,TRUE,FALSE
SPINT2,TRUE,TRUE,FALSE
CUTA,TRUE,TRUE,FALSE
CCT2,TRUE,FALSE,TRUE
LSM2,TRUE,FALSE,FALSE
RPL37,TRUE,TRUE,TRUE
PIK3CG,TRUE,FALSE,FALSE
ATG3,TRUE,FALSE,FALSE
ZNHIT3,TRUE,FALSE,FALSE
AURKAIP1,TRUE,TRUE,FALSE
CZIB,TRUE,FALSE,FALSE
AKIRIN2,TRUE,FALSE,FALSE
OST4,TRUE,TRUE,FALSE
TMED5,TRUE,FALSE,FALSE
HAT1,TRUE,FALSE,FALSE
MRPL58,TRUE,FALSE,FALSE
IVNS1ABP,TRUE,FALSE,TRUE
GSTK1,TRUE,TRUE,TRUE
CASP4,TRUE,TRUE,FALSE
EIF3I,TRUE,TRUE,FALSE
DOCK2,TRUE,FALSE,FALSE
CDCA7L,TRUE,FALSE,FALSE
SAYSD1,TRUE,FALSE,FALSE
GAA,TRUE,TRUE,FALSE
PDE4DIP,TRUE,FALSE,FALSE
ATXN10,TRUE,TRUE,FALSE
TOP1,TRUE,FALSE,FALSE
TMED1,TRUE,FALSE,FALSE
ZNHIT1,TRUE,TRUE,FALSE
GPX4,TRUE,FALSE,TRUE
NDUFAF2,TRUE,FALSE,FALSE
FMC1,TRUE,FALSE,FALSE
THYN1,TRUE,FALSE,FALSE
MPST,TRUE,FALSE,FALSE
CMC1,TRUE,TRUE,TRUE
MTMR14,TRUE,FALSE,FALSE
GPN3,TRUE,FALSE,FALSE
IFT57,TRUE,FALSE,FALSE
PRR13,TRUE,TRUE,TRUE
MTRES1,TRUE,FALSE,FALSE
PHPT1,TRUE,TRUE,FALSE
MTRNR2L8,TRUE,FALSE,TRUE
SIGLEC7,TRUE,FALSE,FALSE
PTPN6,TRUE,TRUE,TRUE
METTL23,TRUE,FALSE,FALSE
GATAD1,TRUE,FALSE,FALSE
RAB18,TRUE,FALSE,FALSE
MRPL43,TRUE,FALSE,FALSE
ACACB,TRUE,FALSE,FALSE
AHSA1,TRUE,TRUE,FALSE
SH3BP1,TRUE,TRUE,TRUE
KCTD5,TRUE,FALSE,FALSE
SLC37A1,TRUE,FALSE,FALSE
NDUFB9,TRUE,FALSE,FALSE
MED10,TRUE,TRUE,FALSE
PCGF5,TRUE,FALSE,TRUE
DOK3,TRUE,FALSE,FALSE
NCBP2,TRUE,FALSE,FALSE
RNASEH2C,TRUE,TRUE,FALSE
STOML2,TRUE,TRUE,FALSE
NRBF2,TRUE,FALSE,FALSE
EAPP,TRUE,FALSE,FALSE
HSPA8,TRUE,TRUE,TRUE
ENO1,TRUE,TRUE,TRUE
SIVA1,TRUE,TRUE,FALSE
DSC2,TRUE,FALSE,FALSE
LAMP2,TRUE,FALSE,FALSE
TUBB6,TRUE,FALSE,FALSE
IER3IP1,TRUE,FALSE,TRUE
RPS13,TRUE,TRUE,TRUE
IL13RA1,TRUE,FALSE,TRUE
SNN,TRUE,FALSE,FALSE
RRP36,TRUE,FALSE,FALSE
GPATCH11,TRUE,FALSE,FALSE
MED4,TRUE,FALSE,FALSE
TIMM17A,TRUE,FALSE,FALSE
STX18,TRUE,FALSE,FALSE
POLR2I,TRUE,FALSE,FALSE
RAB8B,TRUE,TRUE,FALSE
PAQR5,TRUE,FALSE,FALSE
PPIE,TRUE,FALSE,FALSE
MRPS26,TRUE,FALSE,FALSE
SNX4,TRUE,FALSE,FALSE
ERCC1,TRUE,TRUE,FALSE
HNRNPM,TRUE,TRUE,TRUE
BST1,TRUE,FALSE,FALSE
IFI30,TRUE,FALSE,FALSE
NFU1,TRUE,FALSE,FALSE
TMA7,TRUE,TRUE,TRUE
CDC42SE1,TRUE,TRUE,FALSE
ADH5,TRUE,FALSE,FALSE
H2AFJ,TRUE,FALSE,FALSE
ACAT1,TRUE,FALSE,FALSE
TWISTNB,TRUE,FALSE,FALSE
ZCCHC10,TRUE,TRUE,FALSE
COA3,TRUE,TRUE,FALSE
COMTD1,TRUE,FALSE,FALSE
RPS19BP1,TRUE,FALSE,FALSE
UBE2F,TRUE,FALSE,FALSE
RNF126,TRUE,TRUE,FALSE
CELF1,TRUE,FALSE,FALSE
ACP1,TRUE,TRUE,FALSE
BTBD6,TRUE,FALSE,FALSE
RYR1,TRUE,FALSE,FALSE
CD300C,TRUE,FALSE,FALSE
THOC7,TRUE,TRUE,FALSE
EXOSC5,TRUE,FALSE,TRUE
ADGRE3,TRUE,FALSE,FALSE
ARHGAP10,TRUE,FALSE,FALSE
RBM25,TRUE,FALSE,TRUE
ADAMTSL4,TRUE,FALSE,FALSE
NR1H3,TRUE,FALSE,FALSE
ATL1,TRUE,FALSE,FALSE
ARF1,TRUE,TRUE,FALSE
PDAP1,TRUE,TRUE,FALSE
ADAM17,TRUE,FALSE,FALSE
AIMP1,TRUE,TRUE,FALSE
OTULINL,TRUE,FALSE,FALSE
UROS,TRUE,FALSE,FALSE
TAPBP,TRUE,FALSE,TRUE
PRR15,TRUE,FALSE,FALSE
CD47,TRUE,TRUE,FALSE
MCM5,TRUE,FALSE,FALSE
PPA1,TRUE,FALSE,FALSE
PAQR8,TRUE,FALSE,TRUE
MORF4L1,TRUE,TRUE,TRUE
AHI1,TRUE,FALSE,FALSE
NT5C,TRUE,TRUE,FALSE
LY86,TRUE,FALSE,FALSE
FAR2,TRUE,FALSE,FALSE
ARMH1,TRUE,FALSE,FALSE
CMAS,TRUE,FALSE,FALSE
LST1,TRUE,FALSE,FALSE
LZIC,TRUE,FALSE,FALSE
PILRA,TRUE,FALSE,FALSE
UBE2E3,TRUE,TRUE,FALSE
HAUS1,TRUE,FALSE,FALSE
MRPS11,TRUE,FALSE,FALSE
DTYMK,TRUE,FALSE,FALSE
DDAH2,TRUE,TRUE,FALSE
NCBP2AS2,TRUE,FALSE,FALSE
RPL36,TRUE,FALSE,FALSE
GTF3A,TRUE,TRUE,FALSE
ACOT9,TRUE,FALSE,FALSE
ANXA11,TRUE,FALSE,FALSE
PLRG1,TRUE,FALSE,FALSE
HNRNPF,TRUE,TRUE,FALSE
ZC2HC1A,TRUE,FALSE,FALSE
LYPLAL1,TRUE,FALSE,FALSE
MID1IP1,TRUE,FALSE,FALSE
ACAT2,TRUE,FALSE,FALSE
TMCO1,TRUE,TRUE,FALSE
ARHGAP31,TRUE,FALSE,TRUE
UXT,TRUE,TRUE,TRUE
FBXO6,TRUE,FALSE,TRUE
EPRS,TRUE,FALSE,FALSE
ARAP1,TRUE,FALSE,FALSE
NOTCH1,TRUE,TRUE,FALSE
CYB561D2,TRUE,FALSE,FALSE
CXCL3,TRUE,FALSE,FALSE
GABARAPL1,TRUE,TRUE,TRUE
DOCK8,TRUE,FALSE,TRUE
PARL,TRUE,TRUE,FALSE
TXN2,TRUE,TRUE,FALSE
DDX3X,TRUE,FALSE,TRUE
SSR4,TRUE,TRUE,FALSE
TCN2,TRUE,TRUE,TRUE
SURF1,TRUE,TRUE,FALSE
SCO2,TRUE,FALSE,TRUE
DDRGK1,TRUE,FALSE,FALSE
POLR2C,TRUE,FALSE,FALSE
EIF4EBP1,TRUE,TRUE,FALSE
AMIGO2,TRUE,FALSE,FALSE
CALHM2,TRUE,FALSE,FALSE
UBE2D2,TRUE,TRUE,FALSE
COX7A2L,TRUE,FALSE,FALSE
BNIP2,TRUE,FALSE,FALSE
NAP1L1,TRUE,TRUE,TRUE
FAM177A1,TRUE,TRUE,TRUE
MAFG,TRUE,TRUE,FALSE
SLC22A15,TRUE,FALSE,FALSE
RALB,TRUE,FALSE,FALSE
ABHD5,TRUE,FALSE,FALSE
LILRA6,TRUE,FALSE,FALSE
COX20,TRUE,FALSE,FALSE
FKBP2,TRUE,FALSE,FALSE
DGUOK,TRUE,FALSE,FALSE
ETFRF1,TRUE,FALSE,FALSE
RPL22L1,TRUE,TRUE,FALSE
ATP10A,TRUE,FALSE,TRUE
IQGAP1,TRUE,TRUE,FALSE
COLGALT1,TRUE,FALSE,FALSE
RPL36A,TRUE,TRUE,TRUE
SEC13,TRUE,TRUE,FALSE
NUDT21,TRUE,FALSE,FALSE
ACE,TRUE,FALSE,FALSE
POLR2E,TRUE,TRUE,FALSE
EBP,TRUE,TRUE,FALSE
MCOLN1,TRUE,TRUE,FALSE
GSTP1,TRUE,TRUE,TRUE
SNX8,TRUE,FALSE,FALSE
CMC2,TRUE,FALSE,FALSE
PPIB,TRUE,TRUE,TRUE
UBE2D1,TRUE,TRUE,TRUE
CLPP,TRUE,TRUE,FALSE
APEX1,TRUE,TRUE,FALSE
COMMD6,TRUE,TRUE,TRUE
MIF,TRUE,TRUE,TRUE
UBE2A,TRUE,FALSE,TRUE
TBC1D10C,TRUE,TRUE,TRUE
SKA2,TRUE,FALSE,TRUE
PTRH1,TRUE,FALSE,FALSE
CLNS1A,TRUE,FALSE,FALSE
GLO1,TRUE,FALSE,FALSE
IL1B,TRUE,FALSE,FALSE
MRPL41,TRUE,TRUE,FALSE
NUDT16L1,TRUE,FALSE,FALSE
LRRFIP2,TRUE,FALSE,FALSE
EMC4,TRUE,TRUE,FALSE
IDH2,TRUE,TRUE,TRUE
C16orf54,TRUE,TRUE,FALSE
PPP1CA,TRUE,TRUE,FALSE
APOBEC3G,TRUE,TRUE,TRUE
ETF1,TRUE,TRUE,TRUE
TMEM63A,TRUE,FALSE,TRUE
SLC31A2,TRUE,FALSE,FALSE
FRMD4A,TRUE,FALSE,FALSE
FFAR4,TRUE,FALSE,FALSE
CYP27A1,TRUE,FALSE,FALSE
HSPB1,TRUE,TRUE,FALSE
SNAI3,TRUE,FALSE,FALSE
NDUFAF4,TRUE,FALSE,FALSE
PYGL,TRUE,TRUE,FALSE
C1GALT1C1,TRUE,FALSE,FALSE
BRIX1,TRUE,FALSE,FALSE
POP4,TRUE,FALSE,FALSE
STARD3NL,TRUE,FALSE,FALSE
SRSF3,TRUE,TRUE,FALSE
IQGAP2,TRUE,FALSE,FALSE
SH2D3C,TRUE,FALSE,FALSE
APOL4,TRUE,FALSE,FALSE
NUDC,TRUE,FALSE,FALSE
ERH,TRUE,TRUE,FALSE
ACSM3,TRUE,FALSE,TRUE
LSM7,TRUE,FALSE,FALSE
GNB1,TRUE,FALSE,TRUE
PDE3B,TRUE,FALSE,FALSE
RSL24D1,TRUE,FALSE,TRUE
SRSF2,TRUE,TRUE,TRUE
KRTCAP2,TRUE,TRUE,FALSE
AIG1,TRUE,FALSE,FALSE
IK,TRUE,TRUE,FALSE
CLEC12A,TRUE,FALSE,FALSE
NDUFS8,TRUE,TRUE,FALSE
MRPL1,TRUE,FALSE,TRUE
HPCAL1,TRUE,TRUE,FALSE
TMOD3,TRUE,FALSE,FALSE
HHEX,TRUE,FALSE,FALSE
POLE3,TRUE,FALSE,FALSE
ZYX,TRUE,FALSE,FALSE
MIF4GD,TRUE,FALSE,FALSE
ARF4,TRUE,FALSE,TRUE
CCDC167,TRUE,FALSE,FALSE
TRIM8,TRUE,FALSE,FALSE
PPM1G,TRUE,FALSE,FALSE
RPF1,TRUE,TRUE,FALSE
ERGIC2,TRUE,TRUE,FALSE
NAA38,TRUE,FALSE,FALSE
NMI,TRUE,FALSE,TRUE
ADCY3,TRUE,FALSE,FALSE
POLR3GL,TRUE,FALSE,TRUE
PLSCR1,TRUE,TRUE,TRUE
TTC37,TRUE,FALSE,FALSE
TGM2,TRUE,FALSE,FALSE
CEACAM21,TRUE,FALSE,FALSE
PTCRA,TRUE,FALSE,FALSE
GIMAP1,TRUE,TRUE,TRUE
CD55,TRUE,TRUE,TRUE
POP7,TRUE,FALSE,FALSE
RPL23,TRUE,TRUE,TRUE
DDX58,TRUE,FALSE,TRUE
CD36,TRUE,FALSE,TRUE
NRP1,TRUE,FALSE,FALSE
COPS4,TRUE,FALSE,FALSE
HSP90AA1,TRUE,FALSE,TRUE
PSMB10,TRUE,TRUE,TRUE
TINF2,TRUE,FALSE,FALSE
RPAIN,TRUE,FALSE,FALSE
TLN1,TRUE,FALSE,FALSE
S100P,TRUE,FALSE,FALSE
PARP4,TRUE,FALSE,FALSE
PDXK,TRUE,FALSE,FALSE
OGA,TRUE,FALSE,FALSE
APH1B,TRUE,FALSE,FALSE
POP5,TRUE,FALSE,FALSE
LAPTM4A,TRUE,FALSE,FALSE
SIGLEC12,TRUE,FALSE,FALSE
ZNF622,TRUE,FALSE,FALSE
MRPL23,TRUE,FALSE,FALSE
RASSF5,TRUE,FALSE,TRUE
CCNDBP1,TRUE,FALSE,FALSE
BIN2,TRUE,TRUE,FALSE
SYTL1,TRUE,TRUE,FALSE
RNASEH2B,TRUE,TRUE,TRUE
IMP4,TRUE,FALSE,FALSE
ZFAND6,TRUE,TRUE,TRUE
TMEM14A,TRUE,FALSE,FALSE
HSD17B8,TRUE,FALSE,FALSE
BANF1,TRUE,TRUE,TRUE
DCPS,TRUE,FALSE,FALSE
CTNNB1,TRUE,FALSE,TRUE
GIMAP4,TRUE,TRUE,TRUE
B3GALT4,TRUE,FALSE,FALSE
GLT8D1,TRUE,FALSE,FALSE
NUDT1,TRUE,FALSE,TRUE
MOB1A,TRUE,TRUE,FALSE
NUCB2,TRUE,FALSE,TRUE
CEBPD,TRUE,FALSE,FALSE
SLC9A7,TRUE,FALSE,FALSE
MRPL49,TRUE,FALSE,FALSE
ZNRD1,TRUE,FALSE,TRUE
PSMD3,TRUE,FALSE,FALSE
PCNX1,TRUE,FALSE,FALSE
TMEM141,TRUE,TRUE,FALSE
YWHAZ,TRUE,TRUE,TRUE
CCT3,TRUE,TRUE,FALSE
CASP7,TRUE,FALSE,TRUE
CNBP,TRUE,TRUE,FALSE
DDIAS,TRUE,FALSE,FALSE
NMB,TRUE,FALSE,FALSE
C22orf39,TRUE,FALSE,FALSE
NUDT22,TRUE,FALSE,FALSE
ZCCHC17,TRUE,FALSE,FALSE
UBE2J1,TRUE,TRUE,TRUE
TRAPPC1,TRUE,TRUE,FALSE
RALA,TRUE,FALSE,TRUE
ZMIZ1,TRUE,TRUE,FALSE
RBMX2,TRUE,FALSE,FALSE
PNRC1,TRUE,TRUE,TRUE
COPS3,TRUE,TRUE,FALSE
MRPL54,TRUE,TRUE,TRUE
ERP44,TRUE,TRUE,TRUE
C4orf33,TRUE,FALSE,FALSE
OCIAD1,TRUE,TRUE,FALSE
OPTN,TRUE,FALSE,TRUE
CACNB3,TRUE,FALSE,FALSE
RAB7A,TRUE,FALSE,FALSE
VTI1B,TRUE,FALSE,FALSE
TPI1,TRUE,TRUE,FALSE
UROD,TRUE,FALSE,FALSE
PPDPF,TRUE,TRUE,TRUE
ELP6,TRUE,FALSE,FALSE
DUT,TRUE,FALSE,FALSE
MTIF3,TRUE,TRUE,FALSE
CYP3A5,TRUE,FALSE,FALSE
TCEA1,TRUE,TRUE,FALSE
SLC1A5,TRUE,FALSE,FALSE
LSM5,TRUE,FALSE,FALSE
CTNNA1,TRUE,FALSE,FALSE
SDF2L1,TRUE,FALSE,TRUE
PSMD12,TRUE,TRUE,FALSE
SDHAF3,TRUE,FALSE,FALSE
KIAA2026,TRUE,FALSE,FALSE
DMAC2L,TRUE,FALSE,FALSE
MAGED2,TRUE,FALSE,FALSE
APEH,TRUE,FALSE,FALSE
TXNIP,TRUE,TRUE,TRUE
MRPS9,TRUE,FALSE,FALSE
CD86,TRUE,TRUE,FALSE
MINK1,TRUE,FALSE,FALSE
COQ4,TRUE,FALSE,FALSE
HIPK1,TRUE,FALSE,FALSE
HMG20B,TRUE,TRUE,FALSE
HPGD,TRUE,FALSE,FALSE
TSC22D3,TRUE,TRUE,TRUE
USP14,TRUE,FALSE,FALSE
ADCK2,TRUE,FALSE,FALSE
MROH6,TRUE,FALSE,FALSE
MRPL17,TRUE,FALSE,FALSE
CYB5A,TRUE,FALSE,FALSE
ZDHHC24,TRUE,FALSE,FALSE
ALG9,TRUE,FALSE,FALSE
TOMM7,TRUE,TRUE,TRUE
HEBP2,TRUE,FALSE,FALSE
PSMG4,TRUE,FALSE,FALSE
SPTLC2,TRUE,TRUE,FALSE
MRPS34,TRUE,TRUE,FALSE
RIPK2,TRUE,FALSE,FALSE
MESD,TRUE,FALSE,FALSE
PPID,TRUE,FALSE,FALSE
CA2,TRUE,FALSE,FALSE
MCTP1,TRUE,FALSE,FALSE
ALDH1A1,TRUE,FALSE,FALSE
BET1,TRUE,FALSE,FALSE
MAP3K13,TRUE,FALSE,FALSE
CMSS1,TRUE,FALSE,FALSE
TIPRL,TRUE,FALSE,FALSE
RNF10,TRUE,FALSE,FALSE
ACTL6A,TRUE,FALSE,FALSE
UFSP2,TRUE,FALSE,FALSE
PAFAH1B1,TRUE,FALSE,TRUE
FMNL1,TRUE,FALSE,FALSE
ETFB,TRUE,FALSE,TRUE
CUL1,TRUE,FALSE,TRUE
ARFIP1,TRUE,FALSE,FALSE
MZT2A,TRUE,FALSE,TRUE
TOMM22,TRUE,TRUE,FALSE
L1TD1,TRUE,FALSE,FALSE
HACD3,TRUE,FALSE,FALSE
TIMP1,TRUE,TRUE,TRUE
LTB4R,TRUE,FALSE,FALSE
STX7,TRUE,TRUE,TRUE
TIMM13,TRUE,TRUE,FALSE
CARHSP1,TRUE,FALSE,FALSE
LRRC23,TRUE,FALSE,FALSE
GGA1,TRUE,TRUE,FALSE
EIF3J,TRUE,FALSE,FALSE
ZMAT2,TRUE,FALSE,FALSE
C11orf58,TRUE,FALSE,FALSE
UBXN4,TRUE,FALSE,FALSE
ABHD11,TRUE,FALSE,FALSE
GNAI3,TRUE,FALSE,TRUE
GEMIN6,TRUE,FALSE,FALSE
LUC7L3,TRUE,FALSE,FALSE
RBM39,TRUE,TRUE,FALSE
CCDC127,TRUE,FALSE,FALSE
MACC1,TRUE,FALSE,FALSE
C7orf50,TRUE,TRUE,FALSE
BPGM,TRUE,FALSE,FALSE
RPP38,TRUE,FALSE,FALSE
GNL2,TRUE,FALSE,FALSE
ABI3,TRUE,TRUE,FALSE
SF3A1,TRUE,TRUE,FALSE
FCGRT,TRUE,FALSE,FALSE
ERAP2,TRUE,FALSE,TRUE
PNPLA8,TRUE,FALSE,FALSE
RAB27A,TRUE,FALSE,FALSE
COMMD9,TRUE,TRUE,FALSE
MRPL24,TRUE,FALSE,FALSE
PCNP,TRUE,FALSE,FALSE
FAM89B,TRUE,FALSE,FALSE
WLS,TRUE,FALSE,FALSE
RALBP1,TRUE,FALSE,FALSE
RAB5C,TRUE,TRUE,TRUE
JMJD1C,TRUE,FALSE,FALSE
TXNRD1,TRUE,FALSE,FALSE
DIAPH1,TRUE,FALSE,FALSE
TNFAIP8,TRUE,TRUE,TRUE
MIEN1,TRUE,FALSE,FALSE
SERTAD1,TRUE,FALSE,TRUE
SCARB1,TRUE,FALSE,FALSE
CD44,TRUE,TRUE,TRUE
LTB,TRUE,TRUE,TRUE
RCL1,TRUE,FALSE,FALSE
RPL34,TRUE,TRUE,TRUE
CNIH1,TRUE,TRUE,TRUE
PELI3,TRUE,FALSE,FALSE
LYPLA1,TRUE,FALSE,FALSE
RAD51C,TRUE,FALSE,FALSE
GNS,TRUE,FALSE,FALSE
CKAP4,TRUE,FALSE,FALSE
IFRD2,TRUE,FALSE,FALSE
FOXN2,TRUE,FALSE,FALSE
MGAT1,TRUE,FALSE,FALSE
BCL10,TRUE,FALSE,FALSE
OGFRL1,TRUE,FALSE,FALSE
CYSLTR1,TRUE,FALSE,TRUE
ATRAID,TRUE,TRUE,TRUE
ADIPOR1,TRUE,FALSE,FALSE
ACYP2,TRUE,FALSE,FALSE
COMMD7,TRUE,TRUE,FALSE
SNRNP27,TRUE,FALSE,FALSE
JUN,TRUE,TRUE,TRUE
HYAL2,TRUE,FALSE,FALSE
PRRC2B,TRUE,FALSE,FALSE
TEX264,TRUE,TRUE,FALSE
XBP1,TRUE,TRUE,TRUE
PRPF38B,TRUE,FALSE,FALSE
HSDL2,TRUE,FALSE,FALSE
TMED2,TRUE,TRUE,FALSE
PPHLN1,TRUE,TRUE,FALSE
HLA-E,TRUE,FALSE,TRUE
DPYSL2,TRUE,FALSE,FALSE
